title,description,cost,license,app_type,origin,platform,supported_languages
Vivid,"Vivid is a software that enables users to amplify the brightness of their MacBook Pro and Pro Display XDR, system-wide, utilizing standard Apple APIs. Software",Pay once,Proprietary,N/A,N/A,Mac,English
iTranslate,"iTranslate is a comprehensive translation tool offering over 100 languages, voice output customization, multiple dictionaries for context-specific translations, Romanization of non-Latin languages, and optimized text input, available on multiple platforms and devices.",Freemium,Proprietary,Translator,"Austria, EU","Mac, Online, Android, iPhone, Android Tablet, iPad","English, Arabic, Chinese, Danish, Dutch, French, German, Greek, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Russian, Spanish, Swedish, Thai, Turkish, ▾"
We Love Lights,"The app integrates seamlessly into the menu bar (or can stay in the Dock), from where you can easily manage and control all your lights and other devices. New rooms, zones, lights, smart plugs, motion sensors, switches and status items can be added, renamed, rearranged... Applicationsoftware reviews",Pay once,Proprietary,N/A,"Germany, EU",Mac,"English, French, German"
Takesama,A modern Mastodon and Misskey client.,Free,Proprietary,"Mastodon Client, Social Network","Poland, EU","Android, iPhone, iPad","English, Japanese"
Actavivo,"Actavivo Free team Communication app for seamless group coordination. Our app designed for all types of team communication including sports, churches, neighbors etc. Freesoftware listings",Free,Proprietary,Team Collaboration Tool,N/A,"Windows, Android, iPhone, iPad",English
Resprite,"Resprite is a powerful 8bit image painter and pixel art studio. It provides a powerful set of pixel art editing tools, an advanced layer and timeline system, and a high-performance rendering engine, which can help you create fascinating pixel art, exquisite spritesheet...",Pay once or Subscription,Proprietary,Image Editor,N/A,"iPhone, iPad","English, Japanese, Chinese"
Round Sync,"Round Sync helps you to manage your files, everywhere you go, on your local device or on most cloud providers.",Free,Open Source ( GPL-3.0 ),File Sync Tool,"Germany, EU","Android, F-Droid",English
Alibi,Alibi keeps recording in the background and saves the last 30 minutes at your request.,Free,Open Source ( GPL-3.0 ),Camera App,International,"Android, F-Droid",English
Shortwave,"Shortwave is an email app that takes the pain out of managing your inbox, making it effortless to stay organized, productive, and responsive. Mobileapp discovery",Freemium (Subscription),Proprietary,Email Client,United States,"Online, Android, iPhone, Android Tablet, iPad, Gmail",English
Cloudpunk,A neon-noir story in a rain-drenched cyberpunk metropolis. It’s your first night on the job working for the Cloudpunk delivery service. Two rules: Don’t miss a delivery and don’t ask what’s in the package.,Paid,Proprietary,Adventure Game,"Germany, EU","Windows, Steam, Nintendo Switch, Playstation, Xbox",English
ENCODYA,"Neo Berlin 2062. Tina – a nine-year-old orphan – lives with SAM-53 – her big clumsy robot guardian –in a rooftop makeshift shelter in Neo-Berlin, a dark megalopolis controlled by corporations.",Paid,Proprietary,Adventure Game,N/A,"iPhone, iPad, Nintendo Switch, Steam, Android, Android Tablet, Linux, Mac, Xbox, Playstation","English, Chinese, German, Italian, Japanese, Korean, Russian, Spanish"
4DDiG Windows Boot Genius,"Boots PCs with startup issues, recovers data from non-bootable drives, fixes over 100 Windows boot problems, resets lost passwords, backs up and clones partitions, restores files from crashed systems or formatted drives, and secures sensitive data.",Subscription,Proprietary,File Recovery Tool,Hong Kong SAR China,Windows,"English, Arabic, Chinese, Dutch, French, German, Japanese, Korean, Russian, Portuguese, Spanish"
Beyond a Steel Sky,"From Charles Cecil, creator of the Broken Sword series, with art direction by Dave Gibbons, legendary comic book artist behind ‘Watchmen’, comes ‘Beyond a Steel Sky’, the long awaited sequel to the cult classic ‘Beneath a Steel Sky’.",Paid,Proprietary,Adventure Game,United Kingdom,"iPhone, iPad, Steam, Windows, Xbox, Playstation, Nintendo Switch, GOG.com","English, Arabic, Chinese, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish"
Wizz,"Wizz is a social networking app that facilitates live chat with global users, offers a swiping feature to discover online friends, hosts diverse communities based on shared interests, and ensures user safety, all free of charge. Applicationsoftware reviews",Freemium (Subscription),Proprietary,Random Video Chat App,N/A,"iPhone, iPad, Android, Android Tablet","English, Danish, Dutch, Finnish, French, German, Italian, Norwegian Bokmål, Spanish, Swedish"
DreamApp,DreamApp finds the meaning of your dreams immediately after you wake up. We explain why you have seen this dream and use it to identify what is blocking your mental health and happiness.,Free,Proprietary,Journaling App,United Kingdom,"iPhone, iPad, Android, Android Tablet","English, Arabic, Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Latvian, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Chinese, Slovak, Slovene, Spanish, Swedish, Turkish, Ukrainian, Vietnamese, ▾"
THINK FR33 Reverse Image Search,Reverse Image Search lets you search by images using Reverse Search engine instead of keywords.,Free,Proprietary,N/A,N/A,"Android, Android Tablet",English
Metadata Remover,"Protect your privacy by removing metadata from your photos, before sharing them on the internet!",Free,Open Source ( Apache-2.0 ),N/A,"Germany, EU","Android, Android Tablet, F-Droid",English
Captions,"AI-powered tool for creating and editing videos with features like automatic captioning, multi-language support, eye contact correction, video integration across multiple platforms, and advanced sharing options designed to enhance accessibility and engagement.",Freemium (Subscription),Proprietary,"Video Editor, AI Video Generator",United States,"Mac, iPhone, iPad, Android, Online","English, Arabic, French, German, Hebrew, Italian, Japanese, Portuguese, Russian, Spanish, Ukrainian"
SimpMusic,"Free, open-source Android client enables ad-free background playback, video, and playlist creation with fast YouTube Music browsing, synced lyrics, Spotify Canvas, AI song suggestions, SponsorBlock, ReturnYouTubeDislike, Discord, offline support, and more.",Free,Open Source ( GPL-3.0 ),"Music Streaming Service, Audio Player",Vietnam,"Mac, Windows, Linux, Android, Android Tablet, F-Droid","English, Arabic, Turkish, Chinese, Dutch, Finnish, French, German, Indonesian, Italian, Japanese, Polish, Portuguese, Spanish, Vietnamese, Korean, Persian, Russian, Ukrainian, Thai, Tamil, ▾"
1 Edge,"1 Edge is a Floating Window Edge Panels application that provides features such as app shortcuts, countdown day, hydration reminders, and in-app tools, designed to enhance user productivity and experience. Applicationsoftware reviews",Free,Proprietary,Application Launcher,N/A,Android,English
Locategy,"Locategy is a family locator with parental control features: allows parents to locate their kid’s mobile, receive realtime alerts when they reaches or leaves predefined places, but also see the list of the installed apps and control the screen time, with also panic button and... Mobileapp discovery",Paid,Proprietary,Parental Control Tool,"Spain, EU","iPhone, iPad, Android, Android Tablet","English, Catalan; Valencian, French, German, Italian, Portuguese, Spanish"
Gesture Suite,"Gesture Suite is an advanced automation tool providing users with a personalized device experience through unique touch and air gestures, voice commands, task scheduling, and device event responses, enabling custom tasks and automated actions across 70+ actions.",Freemium,Proprietary,N/A,"Italy, EU","Android, Android Tablet",English
Buddy.ai,"Buddy.ai is a voice-based virtual English tutor for children aged 4-10, utilizing unique speech technology and game-like lessons to teach English to speakers of multiple languages.",Freemium,Proprietary,Language Learning Tool,United States,"iPhone, iPad, Android, Android Tablet, Online","English, Arabic, French, German, Polish, Portuguese, Russian, Spanish, Turkish"
Picogen.io,"Picogen.io is an AI image generation API that rivals platforms like Midjourney and DALL-E. It offers 4K output, new endpoints, and free credits. The API generates realistic AI images in under 3 seconds and can be set up in less than 5 minutes. FreeVPN services",Pay once or Subscription,Proprietary,AI Image Generator,N/A,"Online, Self-Hosted, JavaScript, PHP, Python",English
DropNotch,"Turns the MacBook notch into a drop zone! Easily share files using AirDrop, Mail, Messages and more by simply dropping them into your MacBook notch area.",Free,Proprietary,Desktop Customization Tool,N/A,Mac,English
Pyla,"Pyla is a on/offboarding IT platform for SMBs and Mid-caps. It simplifies the management of hardware and software when onboarding, transfer or offboarding employees and partners. Newsoftware releases",Subscription,Proprietary,N/A,N/A,Software as a Service (SaaS),"English, French"
Colossyan,"Create engaging AI-powered videos with real actors within five minutes. Ideal for businesses, it offers 150+ avatars, auto translations in over 80 languages, and lets users create personal avatars. Perfect for enhancing content, reducing costs, and aligning with organizational goals.",Subscription,Proprietary,"AI Video Generator, Text to Speech Service",United States,Online,English
Aster Launcher,"Aster Launcher - the minimalist productivity launcher for focus, productivity, keep your focus on what really counts.",Free,Open Source ( GPL-3.0 ),Application Launcher,N/A,"Android, F-Droid",English
Discordful,Discover your new favorite community on Discord! Connect with people who share your interests by browsing thousands of public Discord servers.,Free,Proprietary,N/A,N/A,Online,"English, Portuguese"
Fingrom,"The goal of the solution is to create an application that is intuitive, efficient, and inclusive; to manage personal finances while ensuring that no one is left behind. Applicationsoftware reviews",Free,Open Source,"Budget Manager, Personal Finance Tool","Poland, EU","Mac, Windows, Linux, Online, Android, iPhone, Android Tablet, HUAWEI AppGallery, iPad, Self-Hosted, AppImageHub, Flathub, Samsung Galaxy Store","English, German, French, Belarusian, Ukrainian, Chinese, Arabic, Azerbaijani, Japanese, Hindi, Persian, Polish, Spanish, Uzbek, Korean, Italian, Turkish, Dutch, Romanian, Czech, ▾"
SpinupWP,SpinupWP is a modern server control panel that’s here to help developers implement best practices for every server they spin up. Designed for WordPress.,Subscription,Proprietary,"Server Management Tool, Web Hosting Service",Canada,Online,English
Mastopoet,"Mastopoet is an open source screenshot tool for Mastodon, inspired by poet.so. It allows you to create sparkles stunning sparkles screenshots of your toots, with ability to remove stuff you don't want (bookmark button, publicity symbol, settings button...).",Free,Open Source ( MIT ),Screenshot Capture Tool,N/A,"Online, Self-Hosted",English
Pebble Finance,Trends are everywhere. Noticing more and more electric cars on the streets? Is your Twitter feed blowing up about AI?,Subscription,Proprietary,Stock Trading App,United States,"iPhone, Android, Online",English
DankGPT,Unlock your documents with instant insights.,Freemium (Subscription),Proprietary,AI Chatbot,N/A,Online,English
DeriveIt,View and search all Questions.,Free,Proprietary,Q&A Service,N/A,Online,English
Pinna,Podcasts for kids 3-12.,Freemium,Proprietary,N/A,United States,"iPhone, iPad, Android, Android Tablet",English
Uninstalr,"Uninstalr is a free, lightweight, standalone Windows app uninstaller that is very accurate in detecting data of your installed apps. It also supports detection of portable apps and leftovers from previously uninstalled apps, and it's very good in uninstalling apps in a batch... Opensource software",Free,Proprietary,"Software Uninstaller, System Cleaner",United States,Windows,"English, Chinese, Czech, Danish, Finnish, French, German, Greek, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Polish, Portuguese, Romanian, Slovak, Spanish, Swedish, Thai, Turkish, Ukrainian, Vietnamese, ▾"
Squawker,Squawker is an open-source anonymous X (Twitter) client. It was created as a fork of fritter.,Free,Open Source ( MIT ),Twitter Client,N/A,"Android, F-Droid","English, Catalan; Valencian, Spanish, Indonesian, Italian, Dutch, Norwegian Bokmål, Polish, Portuguese, Romanian, Vietnamese, Turkish, Arabic, Chinese, Korean, Estonian, Hungarian, Japanese, Russian, Czech, Ukrainian, ▾"
Langserver.org,A community-driven source of knowledge for Language Server Protocol implementations.,Free,Proprietary,N/A,United States,Online,English
Opsly,"Opsly is a self-service DevOps platform that can generate, import Terraform code and Cloud enabling developers to build and deploy apps and infrastructure very easily. Mobileapp discovery",Subscription,Proprietary,Cloud Computing Service,N/A,"Online, Software as a Service (SaaS), Self-Hosted, Google Chrome",English
Musify,"Access music from YouTube by streaming or downloading, listen offline, manage custom playlists, import and export data, access lyrics, enjoy SponsorBlock, no ads, no subscriptions, cross-platform Material UI, supports 17 languages, and free usage always.",Free,Open Source ( GPL-3.0 ),"Music Streaming Service, Audio Player",N/A,"Android, F-Droid","English, Russian, Turkish, Arabic, French, German, Greek, Italian, Polish, Portuguese, Ukrainian, Japanese, Indonesian, Korean, Chinese"
Cromite,"Cromite is a Chromium fork focusing on privacy, featuring built-in ad-blocking, user agent customization for privacy, DNS adjustments for security, and anti-fingerprinting measures to ensure user safety throughout browsing sessions. OpenSource",Free,Open Source ( GPL-3.0 ),"Web Browser, Ad Blocker",International,"Windows, Linux, Android, Android Tablet, F-Droid",English
Clime: NOAA Weather,"Consider Clime your one-stop weather radar app. Keep current with important weather changes using real-time radar images, precipitation and temperature forecasts, customizable weather alerts, accurate weather maps, and more. Concerned about Hurricane Season? Applicationsoftware reviews",Freemium,Proprietary,Weather Forecast Tool,United States,"Android, iPhone, Android Tablet, iPad, Apple Watch","English, Danish, French, German, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Portuguese, Russian, Chinese, Spanish, Swedish, Thai, Turkish, Vietnamese"
DreamStudio,Start generating the images of your dreams. Get early access to the Stable Diffusion XL model preview and be the first to try out new features.,Freemium,Proprietary,AI Image Generator,United Kingdom,Online,English
YouTube Ultimate Search,Discover precise moments within YouTube videos with ease. Search and navigate directly to relevant sections within video content.,Free,Proprietary,N/A,N/A,"Google Chrome, Online",English
Rango,"Rango is a cross browser extension that helps you interact with web pages using your voice and talon. It does this by drawing hints with letters next to elements that you can use to click, hover, copy or show link addresses. WebBrowsers",Free,Open Source ( MIT ),N/A,N/A,"Firefox, Google Chrome, Microsoft Edge",English
Gear Lever,"Developed by Mijorus, an Italian developer participating in the GNOME project, Gear Lever is available as a flatpak on Flathub.",Free,Open Source ( GPL-3.0 ),Package Manager,"Italy, EU","Linux, Flathub, Flatpak",English
yoomee,The dating app for quickly connecting with new people. MobileApps & Add-Ons,Freemium (Pay once),Proprietary,Dating Service,"Germany, EU","Android, iPhone, HUAWEI AppGallery","English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Norwegian Bokmål, Polish, Portuguese, Spanish, Swedish"
Cloodo WorkSpace,Cloodo is a universal workspace platform that connects and manages outsourcing and internal resources for hybrid and multi-branch businesses. It enables global corporations to adapt to the changing needs of their workforces and markets.,Free,Proprietary,N/A,N/A,Online,English
GeoHub,"GeoHub is a free to play geography guessing game. It features single player, challenges, country streaks, a new daily challenge, custom maps, and is home to the famous ""A Diverse World"" map. Freesoftware listings",Free,Open Source,N/A,N/A,Online,English
Inky by Inkle,editor that uses the Ink narrative scripting language and allows you to play and test your interactive (game) narrative stories on the fly.,Free,Open Source,Game Development Tool,United Kingdom,"Mac, Windows, Linux",English
Rare Launcher,GUI for legendary. An Epic Games Launcher open source alternative.,Free,Open Source ( GPL-3.0 ),Game Library Manager,N/A,"Mac, Windows, Linux, Flathub, Flatpak",English
Cofi brew timer,"As a passionate coffee lover and amateur barista, I've always been on the hunt for the perfect cup of coffee. That's why I created the free and open-source coffee brew timer for Android. With this app, you can easily time your coffee brews and achieve the perfect flavor... Freeonline tools",Free,Open Source ( GPL-3.0 ),N/A,N/A,"Android, Android Tablet, Android Wear, F-Droid","English, Chinese, Dutch, French, Czech, German, Hindi, Italian, Belarusian, Norwegian Bokmål, Polish, Portuguese, Spanish, Turkish, Ukrainian"
Stable Diffusion,"Stable Diffusion utilizes open-source deep learning and latent diffusion to generate images from text. It supports inpainting, outpainting, image-to-image translation, and operates effectively with a minimum 4GB VRAM, making AI image generation accessible to consumer hardware since its 2022 launch.",Freemium (Subscription),Open Source ( MIT ),AI Image Generator,United Kingdom,"Online, Self-Hosted",English
Aserto,Aserto is an application authorization as a service. It helps developers add real-time resource-level access controls to their applications. SDKs and quickstarts for every popular languages are available to help you get up and running quickly. Applicationsoftware reviews,Freemium (Subscription),Proprietary,N/A,N/A,"Self-Hosted, Software as a Service (SaaS)",English
Resumatic,"Resumatic is a resume builder tool powered by ChatGPT, an AI language model. It streamlines the process of creating personalized, professional resumes, allowing users to showcase their unique skills and achievements.",Freemium (Pay once or Subscription),Proprietary,N/A,N/A,Online,English
final2x,2^x Image Super-Resolution ??.,Free,Open Source ( BSD-3-Clause ),Image Upscaling App,N/A,"Windows, Mac, Linux",English
nostrmo,"A flutter nostr client for Android, IOS, MacOS, Windows, Web.",Free,Open Source ( GPL-3.0 ),N/A,N/A,"Mac, Windows, Android, iPhone, iPad, Android Tablet","English, Bulgarian, Czech, Danish, Dutch, Estonian, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Polish, Portuguese, Romanian, Russian, Chinese, Spanish, Swedish, Thai, ▾"
Passkeys.directory,"Passkeys.directory is a community-driven index of websites, apps, and services that offer signing in with passkeys. Mobileapp discovery",Free,Proprietary,N/A,Canada,Online,English
Vimspector,A multi-language debugging system for Vim.,Free,Open Source ( Apache-2.0 ),N/A,N/A,"Vim, Mac, Windows, Linux, BSD",English
Giga Icon,"Discover the power of Giga Icon, the ultimate app for creating giant Android widgets. Designed with the needs of visually impaired individuals and elderly users in mind, Giga Icon provides easy-to-see and interact with widgets that enhance accessibility and usability.",Free,Proprietary,N/A,N/A,Android,English
neetoCal,"Effortlessly schedule and manage your meetings, interviews, consultations, and more with neetoCal. Stay on top of your busy schedule, accept payments online, set reminders, and collaborate with others.",Freemium (Subscription),Proprietary,"Appointment Scheduler, Calendar App",India,"Android, iPhone, Online",English
SignalDB,"SignalDB is a client-side database with a MongoDB-like interface and TypeScript support. It allows easy data management, reactivity and persistence on the client side, with plans for future replication capabilities.",Free,Open Source ( MIT ),N/A,"Germany, EU","Mac, Windows, Linux, Self-Hosted, React",English
OneWidget,"OneWidget is a customizable app offering a wide variety of widgets for personalizing your home screen, including transparent, live, and health data widgets, with adjustable themes, icons, and sizes, compatible with iOS 14+ and iPadOS 14+. Software",Freemium,Proprietary,N/A,N/A,"iPhone, iPad","English, Chinese, French, Italian, Japanese"
Ruppu,"Ruppu is a mobile application that allows users to store and access shareable media directly from their smartphone notifications, simplifying the process of locating desired files. Applicationsoftware reviews",Freemium,Proprietary,N/A,"Italy, EU","Android, Android Tablet",English
Magrid,"Are you searching for an evidence-based program that can help your child enhance their cognitive development and achieve academic success? Look no further than Magrid – the ultimate cognitive development program designed by early childhood development specialists, psychologists...",Freemium,Proprietary,"Math Game, Educational Game",N/A,"iPhone, iPad, Android, Android Tablet, Online, Windows",English
Everyday Tasks,Do you have the need of remembering what you did? Do you need to know about what to do next? Are you lost in your daily household tasks? Do you think your roommate does less then you?,Free,Open Source ( GPL-3.0 ),Task Management Tool,N/A,"Android, F-Droid",English
Stuff - To Do List Widget,"Stuff is a convenient, minimalistic, and ad-free todo widget that works straight from the homescreen. Add tasks to your to do list in just one click.",Freemium (Pay once),Proprietary,Todo List Manager,N/A,Android,English
Alexandrite,Alexandrite is an alternative web UI for Lemmy with a focus on app-quality easy browsing.,Free,Open Source ( AGPL-3.0 ),Lemmy Client,N/A,Online,English
Sigstore Cosign,Signing OCI containers (and other artifacts) using Sigstore.,Free,Open Source ( Apache-2.0 ),N/A,United States,"Mac, Linux, Windows, Self-Hosted",English
Tandem Surveys,Creating surveys should be easy and effortless. And generating reports and insights should be real-time.,Freemium (Subscription),Proprietary,"Survey Creator, Form Builder",N/A,Online,English
PDFTool,"Edit your PDF files quickly and intuitively. Open, edit, save or convert PDF files with PDFTool – it’s up to you.",Pay once,Proprietary,"PDF Reader, PDF Editor",N/A,Windows,"English, German, Spanish, Polish"
minical - Planner & Calendar,"Introducing minical – a sleek calendar app designed for effortless functionality. Stripped down to its essence, minical boasts a clean and intuitive interface that offers just what you need, without the excess baggage. MobileApps & Add-Ons",Freemium,Proprietary,Calendar App,N/A,"iPhone, iPad","English, Chinese, Japanese, Korean"
Newelle,"Deeply customizable virtual assistant offering flexible AI model support, voice chat, document interaction, web search, file and conversation management, extension integration, and a unified interface for organizing productivity and personal workflows.",Free,Open Source ( GPL-3.0 ),"AI Chatbot, Large Language Model (LLM) Tool",N/A,"Linux, Flathub, Flatpak","English, German, Russian, Ukrainian, Dutch, Italian, Hindi, Bengali, Arabic"
DocuSeal,"DocuSeal allows you to create, fill, and sign digital documents. Use for free in the Cloud or on-premises. #1 Open source alternative to DocuSign, Pandadoc etc. Developer-friendly and can be integrated into apps. Freeonline tools",Freemium (Subscription),Open Source ( AGPL-3.0 ),E-signature Tool,United States,"Online, Self-Hosted, Cloudron","English, Spanish, French, Italian, German, Portuguese, Dutch"
SD Contacts,"This app is meant for users that don't want to synchronize their contacts online, but want to keep them local to the phone. Though there is a problem, if you brick your phone, you might lose all your contacts. MobileApps & Add-Ons",Free,Open Source ( Apache-2.0 ),N/A,N/A,"Android, F-Droid",English
See Saw,"See Saw is a web design inspiration platform that offers daily updated, hand-picked content from across the internet.",Free,Proprietary,Graphic Design Tool,N/A,Online,English
MediaMate,"New, fresh visuals for changing your volume, brightness and now playing media throughout the Notch from your MacBook Pro.",Freemium (Pay once),Proprietary,N/A,N/A,Mac,English
Open Stable Diffusion,A simple open source app for generating images images using stable diffusion. Just enter the necessary parameters and generate the image.,Free,Open Source ( GPL-3.0 ),N/A,N/A,"Android, Android Tablet, F-Droid",English
JitHub,"JitHub is a third party UWP client for github.com. You can use JitHub to manage the code, issues, pull requests, commits and much more in your repositories.",Free,Open Source ( MIT ),N/A,N/A,Windows,English
Cache Cleaner Android,"Since the release of Android 6 (Marshmallow), the option to clear the cache of all apps at once has been restricted by Google to system apps only. This means that users no longer have the convenience of clearing the cache of all their apps simultaneously. AndroidOS",Free,Open Source ( AGPL-3.0 ),System Cleaner,N/A,"Android, F-Droid",English
Magic-Tape,"Command line YouTube client for Linux supporting search, subscription and history management, trending video browsing, fuzzy finder navigation, image thumbnails, video liking or unliking, and video downloading or watching via multiple terminal image solutions.",Free,Open Source,"YouTube Client, YouTube Downloader","Greece, EU","Mac, Linux",English
QuestJS,"Quest 6 is a full re-write of Quest, an interactive fiction app, to pure JavaScript. It's a framework for creating parser-based text adventures. Mobileapp discovery",Free,Open Source ( MIT ),Game Development Tool,United Kingdom,"Windows, Mac, Linux",English
Mano,"AI Chrome Extension Tool that provides flawless support, answers all your questions, & creates helper Agents directly into any site.",Freemium (Subscription),Proprietary,N/A,N/A,"Online, Google Chrome",English
Typefully,"Platform for managing and scheduling posts to Twitter, LinkedIn, Threads, Mastodon, and Bluesky, with AI-assisted suggestions, multi-account support, analytics, collaboration tools, auto-split, thread finisher, commentable drafts, and content backup.",Freemium (Subscription),Proprietary,Social Media Management Tool,United States,"Online, Software as a Service (SaaS), Mac",English
Calday,Check out Calday for the most flexible appointment scheduling app for service-based business! Easily manage your appointments with hassle-free scheduling. Software,Freemium (Subscription),Proprietary,"Appointment Scheduler, Calendar App",N/A,"Online, Android, iPhone, Software as a Service (SaaS)",English
Spray,Spray is a small debugger for C code that comes with minimal mental overhead. All functionality aims to be simple and easy to grasp.,Free,Open Source ( MIT ),N/A,N/A,Linux,English
Substratus.AI,"Substratus is a cross-cloud substrate for training and serving ML models. It extends the Kubernetes control plane to orchestrate ML operations through the addition of new custom resources: Model, Server, Dataset, and Notebook.",Free,Open Source,N/A,N/A,Self-Hosted  ,English
Gyroflow,"Advanced gyro-based video stabilization tool for cinematography, drone videography and much more! Bring your cinematic footage to the next level.",Free,Open Source ( GPL-3.0 ),N/A,United States,"Mac, Windows, Linux, Android, iPhone",English
iAntiTheft,"iAntiTheft is the best anti theft alarm security app for your phone.
Includes powerful functions to protect your phone from thieves. Mobileapp discovery",Pay once,Proprietary,N/A,N/A,"iPhone, iPad","English, Chinese, Spanish, Vietnamese"
Pro Draw X: AI Art Sketchbook,"Pro Draw is the ultimate drawing app for artists of all skill levels! With Pro Draw, you can unleash your creativity and bring your ideas to life with a wide range of powerful drawing tools, including brushes, pencils, markers, and more. Mobileapp discovery",Freemium (Pay once or Subscription),Proprietary,AI Image Generator,N/A,"iPhone, iPad, Android, Android Tablet",English
Norka,"Imagine a hassle-free text-writing experience. Don't worry about saving files, complex markup, or accidentally deleted notes.",Free,Open Source ( MIT ),Text Editor,"Estonia, EU","Linux, Flatpak, Flathub, Snapcraft, elementary OS",English
One Deep Breath,"Take back control of your health, master your physiology, and build the best version of yourself with One Deep Breath.",Freemium (Subscription),Proprietary,Meditation Tool,United States,"iPhone, Android",English
Aerodocs,Revolutionize the way you manage your documents.,Freemium (Pay once),Proprietary,N/A,N/A,Android,English
Positional,"An elegant and colorful location information app for Android with Compass, Clock, Level, Sun, Moon, Trail Marker and many other features. MobileApps & Add-Ons",Freemium (Pay once),Open Source ( GPL-3.0 ),N/A,N/A,Android,English
AI Chat Bot: Writing Assistant,"Our Chatbot Powered By Open AI’s ChatGPT and GPT-4o is an advanced artificial intelligence powered app that is designed to help you communicate with people in a more efficient, effective, and engaging way. Software",Freemium (Subscription),Proprietary,AI Chatbot,N/A,"Android, iPhone, Android Tablet, iPad","English, French, German"
Copilot for Dating,Spark chats and ignite chemistry with AI assistance.,Freemium (Subscription),Proprietary,Dating Service,N/A,Online,English
MyMoney Pro,"MyMoney is a personal finance management & budgeting app that helps you track your money use. This powerful spending tracker saves your money as you can see where your money goes. It has daily expense tracker, free budget planner, intuitive analysis and many powerful... Software",Freemium (Subscription),Proprietary,"Budget Manager, Personal Finance Tool",N/A,Android,English
PsPlay,PSPlay offers you the possibility to remote control your PS console without limitations. You can play your favorite games remotely while you are away (more information below*). PSPlay has been optimized to provide streaming experiences with the lowest possible latency.,Pay once,Proprietary,N/A,N/A,Android,English
ImPlay,"ImPlay is a mpv frontend Cross-Platform Desktop Media Player, built on top of mpv and ImGui.",Free,Open Source ( GPL-2.0 ),"Media Player, Audio Player",N/A,"Windows, Mac, Linux",English
Evie for your Tesla,"Evie lets you control your Tesla from anywhere, view vehicle stats at a glance, and is built with iOS design guidelines in mind.",Freemium (Pay once or Subscription),Proprietary,N/A,United Kingdom,"iPhone, Apple Watch",English
Codecraft,Codecraft is a graphical programming platform based on Scratch 3.0 language. It enables programming by simply clicking “drag and drop” options.,Free,Proprietary,N/A,China,"Mac, Windows",English
LocalAI,"Drop-In OpenAI replacement, On-device, local-first, Generate text/image/speech/music/etc... Backend Agnostic: (llama.cpp, diffusers, bark.cpp, etc...), Optional Distributed Inference(P2P/Federated).",Free,Open Source ( MIT ),"AI Chatbot, Large Language Model (LLM) Tool",International,"Online, Self-Hosted, Cloudron",English
visionOS,All-new platform. Familiar frameworks and tools. Get ready to design and build an entirely new universe of apps and games for Apple Vision Pro. MobileApps & Add-Ons,Free,Proprietary,N/A,United States,"visionOS, iPhone",English
Frontdoor,"Frontdoor is an AI bookmarking assistant that helps you save knowledge from anywhere on the internet, automatically tags and takes notes it for you, and intelligently resurfaces it based on what your currently reading on the web",Freemium,Proprietary,"Note-taking Tool, Todo List Manager",United States,Online  ,English
Bajao Radio - Online Radio,"Easily tune in to local online radio stations. With Bajao Radio, you can enjoy the essence of traditional FM radio, fused with the convenience of online streaming.",Free,Proprietary,Internet Radio Service,N/A,Android  ,English
Sense Weather,"Sense Weather is a mini weather app developed by OneLab, designed to provide a multisensory experience of current weather conditions through visuals, sound, and haptic feedback, although full sensory experience may vary across different Android devices.",Free,Proprietary,Weather Forecast Tool,China,Android,English
Panda Mouse Pro,"Support Android 12! The activator updated, please download the activator again and activate it on PC. AndroidOS",Pay once,Proprietary,"Key Mapping Tool, Mouse Remapping App",N/A,Android,English
Panda Gamepad Pro,Best keymap app for gamepads. Support nearly all brands of gamepads and all apps & games.,Pay once,Proprietary,Key Mapping Tool,N/A,Android,English
TxtNet,TextNet Browser is an Android app that allows anyone around the world to browse the web without a mobile data connection! It uses SMS as a medium of transmitting HTTP requests to a server where a pre-parsed HTML response is compressed using Google's Brotli compression... Mobileapp discovery,Free,Open Source ( GPL-3.0 ),Web Browser,N/A,Android,English
Penly,Get starting with digital planning and note taking on an Android tablet with a Bluetooth stylus. AndroidOS,Pay once,Proprietary,Note-taking Tool,United States,"Android, Android Tablet",English
VoiceGPT,VoiceGPT (Voice-enabled Genius Personal Teammate) - The Ultimate Voice-Based AI Chatbot & GPT3/4 Powered Assistant 💬,Freemium (Pay once),Proprietary,AI Chatbot,N/A,Android,English
Kage Studio,"Kage Studio is a vector-based 2D Animation cross-platform Software that can export animation to HTML5, PNG sequence, Spritesheet, and video (via FFmpeg) as well as static images to PNG and SVG.",Free,Open Source,Vector Graphic App,N/A,"Windows, Linux, Mac",English
tOndO keyboard,"A fast, accurate and easy to learn alternative input method.",Freemium (Pay once),Open Source ( Apache-2.0 ),Mobile Keyboard,N/A,Android,"English, Italian"
